Ticket_ID,Ticket_Type,Created_Date,Channel,Automation_Used,Resolution_Time_Hours,Resolved_First_Contact,Customer_Satisfaction,Resolved_Date
TKT-00018,Billing Issue,2024-01-01 04:15:00,Self-Service,No,5.9,Yes,4.0,2024-01-01 10:09:00
TKT-00019,Technical Issue,2024-01-01 04:30:00,Chatbot,Yes,2.84,Yes,5.0,2024-01-01 07:20:24
TKT-00020,Account Issue,2024-01-01 04:45:00,Self-Service,Yes,0.5,Yes,4.0,2024-01-01 05:15:00
TKT-00021,Technical Issue,2024-01-01 05:00:00,,No,2.1,Yes,3.0,2024-01-01 07:06:00
TKT-00022,Billing Issue,2024-01-01 05:15:00,Email,Yes,3.52,Yes,3.0,2024-01-01 08:46:12
TKT-00023,Account Issue,2024-01-01 05:30:00,Chatbot,No,2.77,No,1.0,2024-01-01 08:16:12
TKT-00024,Billing Issue,2024-01-01 05:45:00,Self-Service,No,5.55,No,4.0,2024-01-01 11:18:00
TKT-00025,Billing Issue,2024-01-01 06:00:00,Self-Service,No,3.22,No,4.0,2024-01-01 09:13:12
TKT-00026,Account Issue,2024-01-01 06:15:00,Chatbot,Yes,2.33,Yes,5.0,2024-01-01 08:34:48
TKT-00027,General Inquiry,2024-01-01 06:30:00,Phone,No,4.61,Yes,3.0,2024-01-01 11:06:36
TKT-00028,Billing Issue,2024-01-01 06:45:00,Chatbot,No,2.25,Yes,4.0,2024-01-01 09:00:00
TKT-00029,Account Issue,2024-01-01 07:00:00,Self-Service,Yes,6.65,No,4.0,2024-01-01 13:39:00
TKT-00030,Technical Issue,2024-01-01 07:15:00,Self-Service,Yes,4.98,Yes,4.0,2024-01-01 12:13:48
TKT-00031,General Inquiry,2024-01-01 07:30:00,,Yes,1.66,Yes,4.0,2024-01-01 09:09:36
TKT-00032,Billing Issue,2024-01-01 07:45:00,Self-Service,Yes,2.57,No,4.0,2024-01-01 10:19:11
TKT-00033,Technical Issue,2024-01-01 08:00:00,Chatbot,No,4.99,Yes,1.0,2024-01-01 12:59:24
TKT-00034,Technical Issue,2024-01-01 08:15:00,Self-Service,Yes,4.53,Yes,5.0,2024-01-01 12:46:48
TKT-00035,Account Issue,2024-01-01 08:30:00,Self-Service,Yes,4.71,Yes,3.0,2024-01-01 13:12:36
TKT-00036,Technical Issue,2024-01-01 08:45:00,Phone,Yes,6.22,Yes,1.0,2024-01-01 14:58:12
TKT-00037,Technical Issue,2024-01-01 09:00:00,Self-Service,Yes,4.49,Yes,4.0,2024-01-01 13:29:24
TKT-00038,Billing Issue,2024-01-01 09:15:00,Self-Service,Yes,4.57,No,4.0,2024-01-01 13:49:11
TKT-00039,General Inquiry,2024-01-01 09:30:00,Self-Service,No,0.5,Yes,3.0,2024-01-01 10:00:00
TKT-00040,Billing Issue,2024-01-01 09:45:00,Self-Service,Yes,2.17,Yes,1.0,2024-01-01 11:55:12
TKT-00041,Technical Issue,2024-01-01 10:00:00,Self-Service,Yes,4.95,No,5.0,2024-01-01 14:57:00
TKT-00042,Technical Issue,2024-01-01 10:15:00,Self-Service,Yes,0.5,Yes,5.0,2024-01-01 10:45:00
TKT-00043,Technical Issue,2024-01-01 10:30:00,Self-Service,No,5.2,Yes,2.0,2024-01-01 15:42:00
TKT-00044,Account Issue,2024-01-01 10:45:00,Self-Service,No,1.2,No,4.0,2024-01-01 11:57:00
TKT-00045,Account Issue,2024-01-01 11:00:00,Chatbot,No,4.92,Yes,4.0,2024-01-01 15:55:12
TKT-00046,Billing Issue,2024-01-01 11:15:00,,Yes,5.51,Yes,4.0,2024-01-01 16:45:36
TKT-00047,Technical Issue,2024-01-01 11:30:00,Chatbot,No,5.71,Yes,4.0,2024-01-01 17:12:36
TKT-00048,Account Issue,2024-01-01 11:45:00,Email,No,3.23,Yes,2.0,2024-01-01 14:58:48
TKT-00049,Billing Issue,2024-01-01 12:00:00,Self-Service,Yes,1.33,Yes,3.0,2024-01-01 13:19:48
TKT-00050,Billing Issue,2024-01-01 12:15:00,Chatbot,Yes,7.77,No,3.0,2024-01-01 20:01:12
TKT-00051,Account Issue,2024-01-01 12:30:00,Self-Service,Yes,3.22,Yes,3.0,2024-01-01 15:43:12
TKT-00052,Technical Issue,2024-01-01 12:45:00,Self-Service,Yes,1.77,Yes,3.0,2024-01-01 14:31:12
TKT-00053,Billing Issue,2024-01-01 13:00:00,Self-Service,Yes,4.0,Yes,3.0,2024-01-01 17:00:00
TKT-00054,General Inquiry,2024-01-01 13:15:00,Chatbot,Yes,0.75,No,4.0,2024-01-01 14:00:00
TKT-00055,Technical Issue,2024-01-01 13:30:00,Chatbot,Yes,0.62,No,5.0,2024-01-01 14:07:12
TKT-00056,Account Issue,2024-01-01 13:45:00,Phone,No,6.05,Yes,4.0,2024-01-01 19:48:00
TKT-00057,Billing Issue,2024-01-01 14:00:00,Chatbot,Yes,5.48,No,3.0,2024-01-01 19:28:48
TKT-00058,Technical Issue,2024-01-01 14:15:00,Phone,No,8.77,Yes,4.0,2024-01-01 23:01:12
TKT-00059,General Inquiry,2024-01-01 14:30:00,Self-Service,No,3.68,Yes,3.0,2024-01-01 18:10:48
TKT-00060,Technical Issue,2024-01-01 14:45:00,Self-Service,No,8.71,Yes,3.0,2024-01-01 23:27:36
TKT-00061,Billing Issue,2024-01-01 15:00:00,Self-Service,Yes,5.28,Yes,5.0,2024-01-01 20:16:48
TKT-00062,Technical Issue,2024-01-01 15:15:00,Self-Service,No,1.46,Yes,4.0,2024-01-01 16:42:36
TKT-00063,Billing Issue,2024-01-01 15:30:00,Self-Service,Yes,8.87,No,4.0,2024-01-02 00:22:12
TKT-00064,Technical Issue,2024-01-01 15:45:00,Chatbot,Yes,5.35,No,3.0,2024-01-01 21:06:00
TKT-00065,Account Issue,2024-01-01 16:00:00,,Yes,2.83,Yes,5.0,2024-01-01 18:49:48
TKT-00066,General Inquiry,2024-01-01 16:15:00,Chatbot,Yes,0.5,Yes,4.0,2024-01-01 16:45:00
TKT-00067,Billing Issue,2024-01-01 16:30:00,Self-Service,Yes,4.68,Yes,4.0,2024-01-01 21:10:48
TKT-00068,Technical Issue,2024-01-01 16:45:00,Chatbot,Yes,2.49,Yes,4.0,2024-01-01 19:14:24
TKT-00069,Technical Issue,2024-01-01 17:00:00,Self-Service,No,3.75,Yes,4.0,2024-01-01 20:45:00
TKT-00070,Technical Issue,2024-01-01 17:15:00,Self-Service,Yes,3.31,Yes,2.0,2024-01-01 20:33:36
TKT-00071,Technical Issue,2024-01-01 17:30:00,Self-Service,No,6.28,Yes,2.0,2024-01-01 23:46:48
TKT-00072,General Inquiry,2024-01-01 17:45:00,Self-Service,Yes,6.35,Yes,3.0,2024-01-02 00:06:00
TKT-00073,Technical Issue,2024-01-01 18:00:00,Self-Service,Yes,6.6,Yes,3.0,2024-01-02 00:36:00
TKT-00074,Technical Issue,2024-01-01 18:15:00,Self-Service,Yes,2.53,Yes,3.0,2024-01-01 20:46:48
TKT-00075,Technical Issue,2024-01-01 18:30:00,Email,No,2.15,Yes,3.0,2024-01-01 20:39:00
TKT-00076,Technical Issue,2024-01-01 18:45:00,Self-Service,No,5.21,Yes,4.0,2024-01-01 23:57:36
TKT-00077,Account Issue,2024-01-01 19:00:00,Chatbot,No,2.75,Yes,,2024-01-01 21:45:00
TKT-00078,Technical Issue,2024-01-01 19:15:00,Self-Service,Yes,4.53,Yes,5.0,2024-01-01 23:46:48
TKT-00079,General Inquiry,2024-01-01 19:30:00,Email,No,0.5,Yes,4.0,2024-01-01 20:00:00
TKT-00080,Technical Issue,2024-01-01 19:45:00,Self-Service,Yes,7.29,Yes,5.0,2024-01-02 03:02:23
TKT-00081,Technical Issue,2024-01-01 20:00:00,Self-Service,Yes,5.43,Yes,4.0,2024-01-02 01:25:48
TKT-00082,Account Issue,2024-01-01 20:15:00,Self-Service,Yes,6.6,Yes,4.0,2024-01-02 02:51:00
TKT-00083,General Inquiry,2024-01-01 20:30:00,,Yes,-2.72,Yes,4.0,2024-01-01 23:13:12
TKT-00084,Account Issue,2024-01-01 20:45:00,Email,No,11.81,No,4.0,2024-01-02 08:33:36
TKT-00085,Technical Issue,2024-01-01 21:00:00,Chatbot,No,3.23,No,4.0,2024-01-02 00:13:48
TKT-00086,Technical Issue,2024-01-01 21:15:00,Self-Service,No,5.81,Yes,2.0,2024-01-02 03:03:36
TKT-00087,General Inquiry,2024-01-01 21:30:00,Self-Service,No,2.6,Yes,3.0,2024-01-02 00:06:00
TKT-00088,Technical Issue,2024-01-01 21:45:00,Email,Yes,3.18,Yes,2.0,2024-01-02 00:55:48
TKT-00089,Technical Issue,2024-01-01 22:00:00,Self-Service,Yes,3.0,No,4.0,2024-01-02 01:00:00
TKT-00090,Technical Issue,2024-01-01 22:15:00,Self-Service,Yes,2.16,No,5.0,2024-01-02 00:24:36
TKT-00091,Technical Issue,2024-01-01 22:30:00,Chatbot,Yes,4.55,Yes,2.0,2024-01-02 03:03:00
TKT-00092,Technical Issue,2024-01-01 22:45:00,Self-Service,Yes,0.83,Yes,2.0,2024-01-01 23:34:48
TKT-00093,Account Issue,2024-01-01 23:00:00,Self-Service,Yes,4.36,Yes,5.0,2024-01-02 03:21:36
TKT-00094,Technical Issue,2024-01-01 23:15:00,Chatbot,No,4.79,Yes,3.0,2024-01-02 04:02:24
TKT-00095,Account Issue,2024-01-01 23:30:00,Self-Service,Yes,3.94,Yes,2.0,2024-01-02 03:26:24
TKT-00096,Billing Issue,2024-01-01 23:45:00,Self-Service,Yes,-5.25,Yes,3.0,2024-01-02 05:00:00
TKT-00097,Technical Issue,2024-01-02 00:00:00,Self-Service,Yes,0.5,Yes,3.0,2024-01-02 00:30:00
TKT-00098,Account Issue,2024-01-02 00:15:00,,Yes,5.1,Yes,3.0,2024-01-02 05:21:00
TKT-00099,Technical Issue,2024-01-02 00:30:00,,Yes,3.15,No,4.0,2024-01-02 03:39:00
TKT-00100,Technical Issue,2024-01-02 00:45:00,Chatbot,Yes,2.09,Yes,3.0,2024-01-02 02:50:24
TKT-00101,Billing Issue,2024-01-02 01:00:00,Chatbot,Yes,4.61,Yes,4.0,2024-01-02 05:36:36
TKT-00102,Account Issue,2024-01-02 01:15:00,Phone,Yes,1.92,Yes,4.0,2024-01-02 03:10:12
TKT-00103,Account Issue,2024-01-02 01:30:00,Chatbot,Yes,4.5,No,5.0,2024-01-02 06:00:00
TKT-00104,Account Issue,2024-01-02 01:45:00,Chatbot,Yes,5.38,Yes,5.0,2024-01-02 07:07:48
TKT-00105,Technical Issue,2024-01-02 02:00:00,Chatbot,Yes,2.78,Yes,3.0,2024-01-02 04:46:48
TKT-00106,Account Issue,2024-01-02 02:15:00,Self-Service,Yes,4.7,No,4.0,2024-01-02 06:57:00
TKT-00107,Account Issue,2024-01-02 02:30:00,Phone,Yes,7.47,Yes,3.0,2024-01-02 09:58:12
TKT-00108,Billing Issue,2024-01-02 02:45:00,Phone,Yes,5.95,Yes,5.0,2024-01-02 08:42:00
TKT-00109,Billing Issue,2024-01-02 03:00:00,Self-Service,Yes,4.7,Yes,4.0,2024-01-02 07:42:00
TKT-00110,Account Issue,2024-01-02 03:15:00,Self-Service,Yes,4.11,Yes,3.0,2024-01-02 07:21:36
TKT-00111,Account Issue,2024-01-02 03:30:00,Chatbot,Yes,4.1,Yes,3.0,2024-01-02 07:36:00
TKT-00112,Technical Issue,2024-01-02 03:45:00,Self-Service,No,3.27,Yes,5.0,2024-01-02 07:01:12
TKT-00113,Technical Issue,2024-01-02 04:00:00,Self-Service,Yes,7.91,Yes,3.0,2024-01-02 11:54:36
TKT-00114,Technical Issue,2024-01-02 04:15:00,Self-Service,Yes,3.12,Yes,4.0,2024-01-02 07:22:12
TKT-00115,Billing Issue,2024-01-02 04:30:00,Self-Service,Yes,3.0,No,2.0,2024-01-02 07:30:00
TKT-00116,Account Issue,2024-01-02 04:45:00,Self-Service,No,6.35,Yes,4.0,2024-01-02 11:06:00
TKT-00117,Billing Issue,2024-01-02 05:00:00,Self-Service,No,4.11,Yes,3.0,2024-01-02 09:06:36
TKT-00118,Account Issue,2024-01-02 05:15:00,Chatbot,Yes,5.09,Yes,3.0,2024-01-02 10:20:24
TKT-00119,Account Issue,2024-01-02 05:30:00,Self-Service,Yes,4.78,No,4.0,2024-01-02 10:16:48
TKT-00120,Account Issue,2024-01-02 05:45:00,Self-Service,Yes,1.91,Yes,4.0,2024-01-02 07:39:36
TKT-00121,Account Issue,2024-01-02 06:00:00,Self-Service,Yes,5.19,Yes,2.0,2024-01-02 11:11:24
TKT-00122,Account Issue,2024-01-02 06:15:00,Self-Service,Yes,2.29,No,3.0,2024-01-02 08:32:23
TKT-00123,General Inquiry,2024-01-02 06:30:00,Phone,Yes,3.64,Yes,4.0,2024-01-02 10:08:24
TKT-00124,Account Issue,2024-01-02 06:45:00,Self-Service,Yes,4.26,Yes,3.0,2024-01-02 11:00:36
TKT-00125,Technical Issue,2024-01-02 07:00:00,Self-Service,Yes,3.28,Yes,2.0,2024-01-02 10:16:48
TKT-00126,Billing Issue,2024-01-02 07:15:00,Self-Service,Yes,2.29,Yes,3.0,2024-01-02 09:32:23
TKT-00127,Account Issue,2024-01-02 07:30:00,Chatbot,Yes,7.51,Yes,3.0,2024-01-02 15:00:36
TKT-00128,Technical Issue,2024-01-02 07:45:00,Email,Yes,3.24,Yes,5.0,2024-01-02 10:59:24
TKT-00129,Billing Issue,2024-01-02 08:00:00,Self-Service,Yes,-5.43,Yes,4.0,2024-01-02 13:25:48
TKT-00130,Technical Issue,2024-01-02 08:15:00,Self-Service,No,0.5,Yes,4.0,2024-01-02 08:45:00
TKT-00131,Technical Issue,2024-01-02 08:30:00,Phone,Yes,6.53,No,3.0,2024-01-02 15:01:48
TKT-00132,Account Issue,2024-01-02 08:45:00,Self-Service,No,0.5,Yes,5.0,2024-01-02 09:15:00
TKT-00133,Billing Issue,2024-01-02 09:00:00,Email,No,2.91,Yes,2.0,2024-01-02 11:54:36
TKT-00134,Technical Issue,2024-01-02 09:15:00,Self-Service,Yes,1.41,Yes,3.0,2024-01-02 10:39:36
TKT-00135,Technical Issue,2024-01-02 09:30:00,,No,0.5,No,4.0,2024-01-02 10:00:00
TKT-00136,Billing Issue,2024-01-02 09:45:00,Phone,Yes,1.61,Yes,4.0,2024-01-02 11:21:36
TKT-00137,Technical Issue,2024-01-02 10:00:00,Self-Service,No,1.22,No,3.0,2024-01-02 11:13:12
TKT-00138,Technical Issue,2024-01-02 10:15:00,Phone,No,1.28,Yes,4.0,2024-01-02 11:31:48
TKT-00139,Account Issue,2024-01-02 10:30:00,Chatbot,No,5.8,No,4.0,2024-01-02 16:18:00
TKT-00140,Billing Issue,2024-01-02 10:45:00,Self-Service,Yes,4.22,Yes,5.0,2024-01-02 14:58:12
TKT-00141,Technical Issue,2024-01-02 11:00:00,Self-Service,No,7.48,Yes,4.0,2024-01-02 18:28:48
TKT-00142,Billing Issue,2024-01-02 11:15:00,Self-Service,No,-7.25,Yes,2.0,2024-01-02 18:30:00
TKT-00143,Technical Issue,2024-01-02 11:30:00,,No,1.72,Yes,3.0,2024-01-02 13:13:12
TKT-00144,Technical Issue,2024-01-02 11:45:00,Self-Service,Yes,3.72,Yes,4.0,2024-01-02 15:28:12
TKT-00145,Technical Issue,2024-01-02 12:00:00,Self-Service,Yes,2.94,No,3.0,2024-01-02 14:56:24
TKT-00146,Account Issue,2024-01-02 12:15:00,Self-Service,Yes,4.77,Yes,5.0,2024-01-02 17:01:12
TKT-00147,Account Issue,2024-01-02 12:30:00,,Yes,5.52,Yes,5.0,2024-01-02 18:01:12
TKT-00148,Billing Issue,2024-01-02 12:45:00,Self-Service,No,6.27,Yes,3.0,2024-01-02 19:01:12
TKT-00149,Billing Issue,2024-01-02 13:00:00,Self-Service,Yes,5.23,No,4.0,2024-01-02 18:13:48
TKT-00150,Account Issue,2024-01-02 13:15:00,Self-Service,Yes,2.77,Yes,5.0,2024-01-02 16:01:12
TKT-00151,Billing Issue,2024-01-02 13:30:00,Chatbot,No,2.23,Yes,4.0,2024-01-02 15:43:48
TKT-00152,Technical Issue,2024-01-02 13:45:00,Phone,Yes,3.58,Yes,4.0,2024-01-02 17:19:47
TKT-00153,Account Issue,2024-01-02 14:00:00,Self-Service,Yes,2.13,Yes,4.0,2024-01-02 16:07:48
TKT-00154,Billing Issue,2024-01-02 14:15:00,Self-Service,Yes,5.77,Yes,2.0,2024-01-02 20:01:12
TKT-00155,General Inquiry,2024-01-02 14:30:00,Chatbot,Yes,5.31,Yes,4.0,2024-01-02 19:48:36
TKT-00156,Technical Issue,2024-01-02 14:45:00,Self-Service,No,2.87,Yes,4.0,2024-01-02 17:37:12
TKT-00157,Technical Issue,2024-01-02 15:00:00,Chatbot,Yes,8.57,No,4.0,2024-01-02 23:34:11
TKT-00158,Account Issue,2024-01-02 15:15:00,Self-Service,Yes,5.1,No,2.0,2024-01-02 20:21:00
TKT-00159,Billing Issue,2024-01-02 15:30:00,Self-Service,Yes,4.09,Yes,3.0,2024-01-02 19:35:24
TKT-00160,General Inquiry,2024-01-02 15:45:00,Email,Yes,2.75,Yes,4.0,2024-01-02 18:30:00
TKT-00161,Billing Issue,2024-01-02 16:00:00,Self-Service,Yes,-3.55,Yes,2.0,2024-01-02 19:33:00
TKT-00162,Billing Issue,2024-01-02 16:15:00,Email,Yes,3.4,No,2.0,2024-01-02 19:39:00
TKT-00163,Technical Issue,2024-01-02 16:30:00,Chatbot,Yes,3.24,Yes,4.0,2024-01-02 19:44:24
TKT-00164,Technical Issue,2024-01-02 16:45:00,Email,Yes,6.4,Yes,4.0,2024-01-02 23:09:00
TKT-00165,Technical Issue,2024-01-02 17:00:00,Chatbot,No,0.59,Yes,1.0,2024-01-02 17:35:24
TKT-00166,Billing Issue,2024-01-02 17:15:00,Chatbot,Yes,3.1,Yes,5.0,2024-01-02 20:21:00
TKT-00167,Technical Issue,2024-01-02 17:30:00,Chatbot,Yes,0.5,Yes,3.0,2024-01-02 18:00:00
TKT-00168,Account Issue,2024-01-02 17:45:00,Self-Service,Yes,3.19,Yes,4.0,2024-01-02 20:56:24
TKT-00169,Billing Issue,2024-01-02 18:00:00,Chatbot,Yes,4.29,Yes,3.0,2024-01-02 22:17:23
TKT-00170,General Inquiry,2024-01-02 18:15:00,Self-Service,Yes,6.21,Yes,4.0,2024-01-03 00:27:36
TKT-00171,Billing Issue,2024-01-02 18:30:00,Phone,Yes,2.13,No,3.0,2024-01-02 20:37:48
TKT-00172,Technical Issue,2024-01-02 18:45:00,Chatbot,Yes,3.87,Yes,4.0,2024-01-02 22:37:12
TKT-00173,Billing Issue,2024-01-02 19:00:00,Chatbot,No,4.89,Yes,4.0,2024-01-02 23:53:24
TKT-00174,Technical Issue,2024-01-02 19:15:00,Self-Service,Yes,3.02,Yes,5.0,2024-01-02 22:16:12
TKT-00175,Billing Issue,2024-01-02 19:30:00,Self-Service,Yes,6.31,No,3.0,2024-01-03 01:48:36
TKT-00176,Billing Issue,2024-01-02 19:45:00,Email,Yes,4.2,Yes,4.0,2024-01-02 23:57:00
TKT-00177,Account Issue,2024-01-02 20:00:00,Self-Service,Yes,5.18,Yes,5.0,2024-01-03 01:10:48
TKT-00178,Technical Issue,2024-01-02 20:15:00,Self-Service,No,0.91,Yes,3.0,2024-01-02 21:09:36
TKT-00179,Technical Issue,2024-01-02 20:30:00,Chatbot,Yes,5.01,Yes,4.0,2024-01-03 01:30:36
TKT-00180,Billing Issue,2024-01-02 20:45:00,,No,4.12,Yes,4.0,2024-01-03 00:52:12
TKT-00181,Account Issue,2024-01-02 21:00:00,Email,Yes,5.24,Yes,2.0,2024-01-03 02:14:24
TKT-00182,Account Issue,2024-01-02 21:15:00,Chatbot,Yes,2.41,Yes,5.0,2024-01-02 23:39:36
TKT-00183,Technical Issue,2024-01-02 21:30:00,Chatbot,Yes,6.06,Yes,3.0,2024-01-03 03:33:36
TKT-00184,Technical Issue,2024-01-02 21:45:00,Chatbot,Yes,3.93,Yes,3.0,2024-01-03 01:40:48
TKT-00185,Billing Issue,2024-01-02 22:00:00,Self-Service,Yes,3.18,Yes,4.0,2024-01-03 01:10:48
TKT-00186,Billing Issue,2024-01-02 22:15:00,,Yes,5.19,Yes,5.0,2024-01-03 03:26:24
TKT-00187,Technical Issue,2024-01-02 22:30:00,,Yes,2.75,Yes,3.0,2024-01-03 01:15:00
TKT-00188,Account Issue,2024-01-02 22:45:00,Chatbot,Yes,7.72,No,2.0,2024-01-03 06:28:12
TKT-00189,Technical Issue,2024-01-02 23:00:00,Self-Service,No,3.41,Yes,2.0,2024-01-03 02:24:36
TKT-00190,Technical Issue,2024-01-02 23:15:00,Self-Service,Yes,4.43,Yes,4.0,2024-01-03 03:40:48
TKT-00191,Billing Issue,2024-01-02 23:30:00,Self-Service,No,4.82,Yes,5.0,2024-01-03 04:19:12
TKT-00192,Account Issue,2024-01-02 23:45:00,Chatbot,No,4.24,Yes,4.0,2024-01-03 03:59:24
TKT-00193,Account Issue,2024-01-03 00:00:00,Chatbot,Yes,5.01,Yes,3.0,2024-01-03 05:00:36
TKT-00194,Technical Issue,2024-01-03 00:15:00,Chatbot,Yes,5.02,No,2.0,2024-01-03 05:16:12
TKT-00195,General Inquiry,2024-01-03 00:30:00,,Yes,0.5,Yes,5.0,2024-01-03 01:00:00
TKT-00196,Billing Issue,2024-01-03 00:45:00,Self-Service,No,6.12,Yes,5.0,2024-01-03 06:52:12
TKT-00197,Technical Issue,2024-01-03 01:00:00,Self-Service,No,3.57,No,4.0,2024-01-03 04:34:11
TKT-00198,Technical Issue,2024-01-03 01:15:00,Self-Service,No,8.52,Yes,3.0,2024-01-03 09:46:12
TKT-00199,Technical Issue,2024-01-03 01:30:00,,Yes,2.0,Yes,4.0,2024-01-03 03:30:00
TKT-00200,Account Issue,2024-01-03 01:45:00,Self-Service,Yes,0.5,Yes,3.0,2024-01-03 02:15:00
TKT-00201,General Inquiry,2024-01-03 02:00:00,Self-Service,No,6.07,Yes,4.0,2024-01-03 08:04:12
TKT-00202,Technical Issue,2024-01-03 02:15:00,Self-Service,No,3.79,Yes,4.0,2024-01-03 06:02:24
TKT-00203,Account Issue,2024-01-03 02:30:00,Self-Service,Yes,4.16,Yes,5.0,2024-01-03 06:39:36
TKT-00204,Billing Issue,2024-01-03 02:45:00,,No,2.55,Yes,4.0,2024-01-03 05:18:00
TKT-00205,Technical Issue,2024-01-03 03:00:00,Chatbot,Yes,2.94,Yes,5.0,2024-01-03 05:56:24
TKT-00206,Account Issue,2024-01-03 03:15:00,Self-Service,Yes,0.82,No,3.0,2024-01-03 04:04:12
TKT-00207,Account Issue,2024-01-03 03:30:00,Self-Service,No,2.66,No,4.0,2024-01-03 06:09:36
TKT-00208,Billing Issue,2024-01-03 03:45:00,Chatbot,Yes,2.82,Yes,4.0,2024-01-03 06:34:12
TKT-00209,General Inquiry,2024-01-03 04:00:00,Chatbot,No,4.71,Yes,5.0,2024-01-03 08:42:36
TKT-00210,General Inquiry,2024-01-03 04:15:00,Self-Service,Yes,3.95,Yes,4.0,2024-01-03 08:12:00
TKT-00211,Technical Issue,2024-01-03 04:30:00,Chatbot,Yes,1.96,No,4.0,2024-01-03 06:27:36
TKT-00212,Account Issue,2024-01-03 04:45:00,Chatbot,Yes,3.74,Yes,3.0,2024-01-03 08:29:24
TKT-00213,Technical Issue,2024-01-03 05:00:00,Self-Service,Yes,7.95,Yes,5.0,2024-01-03 12:57:00
TKT-00214,Technical Issue,2024-01-03 05:15:00,Email,Yes,7.08,Yes,3.0,2024-01-03 12:19:48
TKT-00215,Technical Issue,2024-01-03 05:30:00,Chatbot,Yes,2.07,Yes,4.0,2024-01-03 07:34:12
TKT-00216,Technical Issue,2024-01-03 05:45:00,Self-Service,Yes,5.01,Yes,4.0,2024-01-03 10:45:36
TKT-00217,Technical Issue,2024-01-03 06:00:00,Email,Yes,6.1,Yes,4.0,2024-01-03 12:06:00
TKT-00218,Technical Issue,2024-01-03 06:15:00,Self-Service,Yes,5.43,Yes,4.0,2024-01-03 11:40:48
TKT-00219,Account Issue,2024-01-03 06:30:00,Chatbot,No,6.31,No,3.0,2024-01-03 12:48:36
TKT-00220,Billing Issue,2024-01-03 06:45:00,Chatbot,Yes,4.33,Yes,3.0,2024-01-03 11:04:48
TKT-00221,Technical Issue,2024-01-03 07:00:00,Self-Service,Yes,6.14,Yes,3.0,2024-01-03 13:08:24
TKT-00222,Technical Issue,2024-01-03 07:15:00,Chatbot,No,2.97,Yes,,2024-01-03 10:13:12
TKT-00223,Technical Issue,2024-01-03 07:30:00,Self-Service,Yes,2.89,Yes,4.0,2024-01-03 10:23:24
TKT-00224,Billing Issue,2024-01-03 07:45:00,Email,No,4.46,Yes,4.0,2024-01-03 12:12:36
TKT-00225,Technical Issue,2024-01-03 08:00:00,Self-Service,No,6.73,Yes,2.0,2024-01-03 14:43:48
TKT-00226,Billing Issue,2024-01-03 08:15:00,Self-Service,Yes,0.5,Yes,4.0,2024-01-03 08:45:00
TKT-00227,Technical Issue,2024-01-03 08:30:00,Chatbot,Yes,0.5,No,3.0,2024-01-03 09:00:00
TKT-00228,Account Issue,2024-01-03 08:45:00,Self-Service,No,5.43,Yes,3.0,2024-01-03 14:10:48
TKT-00229,Billing Issue,2024-01-03 09:00:00,Self-Service,No,2.07,No,5.0,2024-01-03 11:04:12
TKT-00230,Account Issue,2024-01-03 09:15:00,Phone,Yes,3.13,No,5.0,2024-01-03 12:22:48
TKT-00231,Technical Issue,2024-01-03 09:30:00,Self-Service,Yes,7.13,Yes,3.0,2024-01-03 16:37:48
